"[2016-03-17T18:22:16.687681]","[ ERROR ]","8000001","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.687850]","[ ERROR ]","8000001","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.687946]","[ ERROR ]","8000001","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.688018]","[ ERROR ]","8000001","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.688141]","[ ERROR ]","8000001","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.688267]","[ ERROR ]","8000001","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.688341]","[ ERROR ]","8000001","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:16.690374]","[ ERROR ]","8000001","production.period-value","Tag not found in dictionary. 1415"
"[2016-03-17T18:22:16.690894]","[ ERROR ]","8000001","Technique-technique","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.877191]","[ ERROR ]","8000002","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.877363]","[ ERROR ]","8000002","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.877445]","[ ERROR ]","8000002","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.877526]","[ ERROR ]","8000002","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.877654]","[ ERROR ]","8000002","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.877789]","[ ERROR ]","8000002","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.878200]","[ ERROR ]","8000002","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:18.911293]","[ ERROR ]","8000002","production.period-value","Tag not found in dictionary. 1415"
"[2016-03-17T18:22:18.911852]","[ ERROR ]","8000002","Technique-technique","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.558867]","[ ERROR ]","8000003","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.559025]","[ ERROR ]","8000003","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.559106]","[ ERROR ]","8000003","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.559180]","[ ERROR ]","8000003","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.559306]","[ ERROR ]","8000003","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.559436]","[ ERROR ]","8000003","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.559535]","[ ERROR ]","8000003","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:19.563269]","[ ERROR ]","8000003","production.period-value","Tag not found in dictionary. 1415"
"[2016-03-17T18:22:19.563721]","[ ERROR ]","8000003","Technique-technique","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.411639]","[ ERROR ]","8000004","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.411793]","[ ERROR ]","8000004","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.411872]","[ ERROR ]","8000004","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.411992]","[ ERROR ]","8000004","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.412156]","[ ERROR ]","8000004","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.412283]","[ ERROR ]","8000004","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.412372]","[ ERROR ]","8000004","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:20.414610]","[ ERROR ]","8000004","production.period-value","Tag not found in dictionary. z.j. (1700-1725, circa) (1415)"
"[2016-03-17T18:22:20.415101]","[ ERROR ]","8000004","Technique-technique","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.117022]","[ ERROR ]","8000005","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.128440]","[ ERROR ]","8000005","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.128519]","[ ERROR ]","8000005","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.132129]","[ ERROR ]","8000005","production.period-value","Tag not found in dictionary. z.j. (1700-1725, circa) (1415)"
"[2016-03-17T18:22:21.132574]","[ ERROR ]","8000005","Technique-technique","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.639904]","[ ERROR ]","8000006","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.640049]","[ ERROR ]","8000006","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.640139]","[ ERROR ]","8000006","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.640217]","[ ERROR ]","8000006","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.640348]","[ ERROR ]","8000006","Dimension","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.640480]","[ ERROR ]","8000006","Dimension-dimension.type","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.640560]","[ ERROR ]","8000006","Dimension-dimension.unit","Tag not found in dictionary. None"
"[2016-03-17T18:22:21.644290]","[ ERROR ]","8000006","production.period-value","Tag not found in dictionary. z.j. (1700-1725, circa) (1416)"
"[2016-03-17T18:22:21.644830]","[ ERROR ]","8000006","Technique-technique","Tag not found in dictionary. None"
"[2016-03-17T18:22:22.736224]","[ ERROR ]","8000007","Dimension","Tag not found in dictionary. None"
